Label,Tweet
Negatif,âşık olmak oğul de ben
Negatif,Silivri biraz ısınmak gerçi
Negatif,Hadi biraz yalan söylemek inanmak
Negatif,gülmek mi demek istemek yoksamak gülmek mi anlamak
Negatif,se hemde anen güzel götünu sik cnm
Negatif,iş geldimi yapmak Kaynak bakmak gelmedimi on gâvur yalan yazmak ii salıyon zurna son deli ahmey
Negatif,hekimevi incelmek yalnız baş çevrilgen
Negatif,deeriko kaş kara deriko göz ela
Pozitif,i nsani lüzum yapmak parasi deği l karakter Şi Li ği di R
Pozitif,Büşra oturmak yer demek sen Büşra
Pozitif,ağır koymak bir Batman Laz
Pozitif,yangın yanal sıkıntı değmek
Pozitif,tiş görünmek önem deyil güzelik geçmek önem o İnsa iç güzel sevmek karteşim ben
Negatif,se hemde anen güzel götünu sik cnm
Negatif,iş geldimi yapmak Kaynak bakmak gelmedimi on gâvur yalan yazmak ii salıyon zurna son deli ahmey
Negatif,Prof Dr kar Şule çet dava önem delil kaymak üniversite öğrenci Şule çet in 23 28 mayıs 2018 Ankara cin saldırı uğramak plaza 20 katı atmak iddia etmek çet in ölümüne ilişkin delil olmak yen bulgu gün yüz çıkarmak Mers
Negatif,se yansı se yak
Negatif,12 hit durmak dış maalesef değmek
Negatif,asker bardak kepçe çay koyuyolar çay dem su karışık ayarlamak yok
Negatif,yar çalışmak pazartesi çalışmak can Burn demek hava yorgun çokk
Negatif,anlam sömürmek bir gezegen olmak
Negatif,Souza şimdi kadar Fenerbahçe izlemek kötü şut çekmek orta saha Josico fa dâhil
Pozitif,dünya Mut İnsa olur
Pozitif,ben sen sormak sen mesaj atamak
Pozitif,dü maç çıldırmak ses kısmak bugün keyfî sürmek maç kadar güzel güzel biliyo mu öyle biçim güzel
Pozitif,kadro sayı mezun sayı artmak azalmak tapu kadastro genelmek müdür yerel yönetim genelmek müdür mil emlak genelmek müdür 20bini aşk mezun kadro beklemek
Pozitif,Furkan girdi oy iç Ersan girmek oy ön geçmek
Pozitif,kadar sarık Rize üflemek
Pozitif,se sevmek bakmak deprem olmak sal yine sevmek
Negatif,denk yaz gelen kadar ev çıkmaz üşümek
Negatif,köy su depo Aref gece geçmek olmak bir miktar su aktarmak olmak yeter kalmak devlet soru kısa süre çözmek kuşku şüphe yok fakat Susuz köy hat safha oerişan etmek gerek arz eder
Negatif,şubattasağlığa 60binatama artık yormak sormak herkes atamak beklemek demek yormak
Negatif,ben kıskanç değmek kıskanmak göstermek iç atmak mahvetmek
Pozitif,Dm Doğu tarihî yer zaman isim yollamak Doğu harita okumak kendi özet çıkarmak pay Hadi bakmak
Pozitif,dü Ge yorum kısa özet yönetim futbol geçmek gitmek Fati H ter M Le kalmak
Pozitif,hayat tamam iş ben on demek zaten konuşmak anlaşmak evet Az kok denemek
